iter	Passed	Remaining
907	1613	163
908	1615	161
909	1617	159
910	1619	158
911	1620	156
912	1622	154
913	1624	152
914	1625	151
915	1627	149
916	1629	147
917	1631	145
918	1632	143
919	1634	142
920	1636	140
921	1637	138
922	1639	136
923	1641	135
924	1643	133
925	1645	131
926	1646	129
927	1648	127
928	1650	126
929	1652	124
930	1653	122
931	1655	120
932	1657	119
933	1659	117
934	1661	115
935	1663	113
936	1664	111
937	1666	110
938	1668	108
939	1669	106
940	1672	104
941	1674	103
942	1675	101
943	1677	99
944	1679	97
945	1681	95
946	1683	94
947	1684	92
948	1686	90
949	1688	88
950	1690	87
951	1691	85
952	1693	83
953	1695	81
954	1696	79
955	1698	78
956	1700	76
957	1702	74
958	1704	72
959	1706	71
960	1707	69
961	1709	67
962	1711	65
963	1713	63
964	1714	62
965	1716	60
966	1718	58
967	1720	56
968	1722	55
969	1724	53
970	1725	51
971	1727	49
972	1729	47
973	1731	46
974	1733	44
975	1734	42
976	1736	40
977	1738	39
978	1740	37
979	1741	35
980	1743	33
981	1745	31
982	1747	30
983	1749	28
984	1750	26
985	1752	24
986	1754	23
987	1756	21
988	1757	19
989	1759	17
990	1761	15
991	1763	14
992	1764	12
993	1766	10
994	1768	8
995	1770	7
996	1771	5
997	1773	3
998	1775	1
999	1777	0
